TxHashId,Fee
2b5acec6e9cffc0975230d5f9b3e574c6f82c552ecf8941f16e57277637a0481,0.0011954 BTC
e06d33c2f0ad8841bede9f79a767b0a15c8671a1c942a9c615bb99a112925f4d,0.0011954 BTC
6101262209903b79e178ae6723cb2eb24ebc2d5f3ee151440fd4a128b4485597,0.0011954 BTC
7a56aa630571865d5b27033ee0f83955769e4295c89248f21d086f1146a55874,0.0011954 BTC
281b735e57e6ff8d451309676ee3d0d18e6522ce42a0c4b73d6babaa54f6859b,0.0011954 BTC
4a5d37537d5ddb99b211a3eae7b38035b85220fe02eb1d36168e8b3bcc62e88a,0.0011954 BTC
86a559f08cdd1e2ed73b61f791a2a9eca2d28f93c294ac17bfb494d166513351,0.0011954 BTC
f76a5031a19b79200142a934611c6ae52ec20caa7a24cb5a63a39cc3d0857fc7,0.0011954 BTC
0644b48fe57d24f737291833e88b3b06a0929c784109342759c289968d4893d8,0.0011954 BTC
64b090513e512cefc9348191957ba900065820a573211e0b41c42d5f8a17ecc8,0.0011954 BTC
1a2f1eba827ce4915ff193d98944edfa18d21b6a868898191771673d5bdf76ec,0.0011954 BTC
176c4124b378d867025f79464d2768b36f1fe1ba56414e6e3bc0f2cf70330d34,0.0011954 BTC
41f098b9db5260d5b544cf9ebf3d912810d854d8ba041921ab75ead5bb96c3dc,0.0011954 BTC
eee382228a76ba46e79acb6b1d668692ac461e1dd34a9d387b514a2af8336b29,0.0014454 BTC
221b8d2e939d402e1d74426102be2474edafd676883d7ed45ddee670a318a629,0.0016954 BTC
83fa50174fbbf38950afc620a69215e3133b69bfe5af852650609c3d9d3347c9,0.0019454 BTC
55e608dc54583c504b85abbff1e95e28a94a1adaab416c8a07086074ccb2b912,0.0014454 BTC
f4364f5744c11581ded681568284bdf7f9dd7b201e983a4c779597689de2bbf8,0.0016954 BTC
181f6800152378e77b6d2f6a288be4669859a15118ceb034e5d9361a2eef4ab0,0.0014454 BTC
26262cdd649e704f73243ecd18768347a254e1659bf6d8b6eb2f6c6875e92124,0.0011954 BTC
0e54e8742c8c6ee95611cd2a2de9b875c4e1e3bcf19ce35988703b993403019d,0.0014454 BTC
dc64ad6c1ca61d7ffa2d6dd05db33d1dc648c6000d3a0f86e7c5dbb079cf00f2,0.0014454 BTC
664bfe997e4ccf51397f1da37c5d66bf2c3c146130b2162fb0d5c922c99efac5,0.0014454 BTC
d2cdd7aaf577343cf8e9d251569d6b620e96fa6f39812f07d505da4e5cba3e1a,0.0014454 BTC
8f0da673d2592757f6ed82aaa9a2579be9848b464911cd327ed03335d34a05b4,0.0014454 BTC
6f6cf283168e0da993437c5729026b2afaa10c7cb33e5ad09953f35c9f3555a4,0.0016954 BTC
b7055b0a0d424630fac713646597bac1946852e27f6186b8e5a5d1d19792ad64,0.0014454 BTC
7e064faa028b471939a7e5c04c178d754480ade9d505fde8cccb331274f31da2,0.0014454 BTC
3d8df303f5cf3172d35faa8d52fb0fdb8c6592d0498d842edb8500daa3dc9119,0.0014454 BTC
0fcdf4b1b5106c18d62a14c668b9cdd064027cfc930fbd0bf3d8fd5320acc870,0.0016954 BTC
82dbac879d47c9645bab5a2b71eba99fda976a92abf07430d31955450a5bf454,0.0016954 BTC
5f9d5c01c2bd1aa8f5cbe32e57bdf413df83733defa3d519955ab5dbe82e5a3d,0.0009454 BTC
2d40a195d96edb21bf62ebbc3938a6d33e9c8b56e50471da6cb30c1b0a167520,0.0014454 BTC
839b6ddd2453ac755c18a34b186938ca2c6993bf17ebb134079261597328763d,0.0013908 BTC
b051b51e2390c9121a0086649ea87214fe42d67b59a5b63eae29db3d597fbdd8,0.0016954 BTC
19fa27941c0cc42e6fba6c80b581d22c7ef3f71233d32a8475cc848db5f51b55,0.0016954 BTC
bf1413d418d2f933a95ff482473e3904d10ea313bcc5024469eb88638cf1f509,0.0009454 BTC
1fbcc262ead68b7a4d07f6cc5f4d79061c645c0da1cb6fb9176b203310722230,0.0009454 BTC
6de514f7a009f6c7e541d6abc099a62a59df5f3c6d248e295a34a545b3acdf5c,0.0019454 BTC
7dbcee5989e0857ecf0c65b26df942477f94805a352d13979a4550602c08bc12,0.0011408 BTC
f2aa58bf6cf4b2ded9fa71e7d8c2f2ec05a8f1d8f140ee05c5aed2a60d3de900,0.0011408 BTC
25ea97362b70d6187d0b8b8148025920f263facd062e156c5813face5314c388,0.0013908 BTC
920790cc832326a716116efdac268347162dc94299482c845f8163833c5ae2e3,0.0011408 BTC
92b271f401b9362a5b2627c6fb2b34d7d48fd585f14a6f570f7fcf530382ba3a,0.0011408 BTC
18ab341a8d6923de9030e3ec3e9d3d6f506613988f3c4f13e02d72e0b96bc230,0.0011408 BTC
fefe699aae16b09d65bb505bb8b2287fae8198373eecf70b3660f3ec93aa39ac,0.0011408 BTC
360178150c2c61828b3f4e9c6e3beb9da7c2fa5e6cbfee14d0ff1051cefe3797,0.0016408 BTC
88081244c32c4b3483683667312dbe4d2516aa32bd008a3f678794f5b635f63e,0.0016954 BTC
